[Desc]Get CItemData ID: 2017 fails. 
[Desc]Get CItemData ID: 2017 fails. 
[Desc]ERROR!! Mission[3435] AcceptCommand[AcceptSRA 1 11] is incorrect
 
[Desc]NPCList.ini <資料重複!! ID=304020> 
[Desc]Weapon.ini <資料重複!! ID=95005> 
[Desc]Weapon.ini <資料重複!! ID=30313> 
[Desc]Weapon.ini <資料重複!! ID=30396> 
[Desc]Weapon.ini <資料重複!! ID=30166> 
[Desc]Weapon.ini <資料重複!! ID=30167> 
[Desc]Weapon.ini <資料重複!! ID=30418> 
[Desc]Weapon.ini <資料重複!! ID=30419> 
[Desc]Weapon.ini <資料重複!! ID=30420> 
[Desc]Weapon.ini <資料重複!! ID=30421> 
[Desc]Weapon.ini <資料重複!! ID=30422> 
[Desc]Weapon.ini <資料重複!! ID=30423> 
[Desc]Weapon.ini <資料重複!! ID=30424> 
[Desc]Weapon.ini <資料重複!! ID=30425> 
[Desc]Weapon.ini <資料重複!! ID=30426> 
[Desc]Weapon.ini <資料重複!! ID=30427> 
[Desc]Weapon.ini <資料重複!! ID=30352> 
[Desc]Node[1] 格式不符!! 找不到標籤"[color_correction]" (s001.ini) 
[Desc]Node[2] 格式不符!! 找不到標籤"[color_correction]" (s002.ini) 
[Desc]Node[3] 格式不符!! 找不到標籤"[color_correction]" (s003.ini) 
[Desc]Node[4] 格式不符!! 找不到標籤"[color_correction]" (s004.ini) 
[Desc]Node[5] 格式不符!! 找不到標籤"[color_correction]" (S005.ini) 
[Desc]Node[6] 格式不符!! 找不到標籤"[color_correction]" (S006.ini) 
[Desc]Node[7] LoadGateway<資料重複>!! ID=31 
[Desc]Node[7] LoadEventArea(GATEWAY)<資料重複>!! ID=41 
[Desc]Node[7] 格式不符!! 找不到標籤"[color_correction]" (S007.ini) 
[Desc]Node[8] 格式不符!! 找不到標籤"[color_correction]" (S008.ini) 
[Desc]Node[9] 格式不符!! 找不到標籤"[color_correction]" (S009.ini) 
[Desc]Node[10] 格式不符!! 找不到標籤"[color_correction]" (S010.ini) 
[Desc]Node[11] 格式不符!! 找不到標籤"[color_correction]" (S011.ini) 
[Desc]Node[12] 格式不符!! 找不到標籤"[color_correction]" (S012.ini) 
[Desc]Node[13] 格式不符!! 找不到標籤"[color_correction]" (S013.ini) 
[Desc]Node[14] 格式不符!! 找不到標籤"[color_correction]" (S014.ini) 
[Desc]Node[15] 格式不符!! 找不到標籤"[color_correction]" (S015.ini) 
[Desc]Node[16] 格式不符!! 找不到標籤"[color_correction]" (S016.ini) 
[Desc]Node[19] 格式不符!! 找不到標籤"[color_correction]" (S019.ini) 
[Desc]Node[20] 格式不符!! 找不到標籤"[color_correction]" (S020.ini) 
[Desc]Node[21] 格式不符!! 找不到標籤"[color_correction]" (S021.ini) 
[Desc]Node[22] 格式不符!! 找不到標籤"[color_correction]" (S022.ini) 
[Desc]Node[23] 格式不符!! 找不到標籤"[color_correction]" (S023.ini) 
[Desc]Node[24] 格式不符!! 找不到標籤"[color_correction]" (S024.ini) 
[Desc]Node[25] 格式不符!! 找不到標籤"[color_correction]" (S025.ini) 
[Desc]Node[26] 格式不符!! 找不到標籤"[color_correction]" (S026.ini) 
[Desc]Node[27] 格式不符!! 找不到標籤"[color_correction]" (S027.ini) 
[Desc]Node[28] 格式不符!! 找不到標籤"[color_correction]" (S028.ini) 
[Desc]Node[29] 格式不符!! 找不到標籤"[color_correction]" (S029.ini) 
